,c1,c2,r1,r2,w,mean effectiveness,mean time until containment,mean difference in met demand,mean difference in arrival time,mean cost per death prevented
83,0.34649310067170624,0.5083051736267761,0.8286399826810916,0.40667277442104893,0.04954923418874918,-0.7898044265431068,16.3,0.3304387788895629,789.49375,2338.3849622772827
84,0.7011945092768613,0.5750908774674193,0.17897523036229934,0.3815573356357497,0.17041596104381035,-0.8048727268039508,25.9,0.21274851963921276,690.19375,2997.6567369250397
85,0.45187956401758966,0.7385183020530189,0.7214738143788041,0.22351397052985536,0.4662212506599428,-0.8218862996631309,21.2,0.24768944517036356,759.6,2975.308490539409
86,0.6561892207162889,0.5472324293729885,0.829841982340862,0.27760911356660756,0.45790673826290773,-0.7890794939615662,23.1,0.21229463521353628,657.0875,2669.209665650246
87,0.739741541590923,0.0053171859483116535,0.7980378311980278,0.7824461998319144,0.6763095527635493,-0.8014271014368738,21.4,0.38042987473797735,735.375,2498.0315292813693
88,0.6435789338337614,0.6413634920285092,0.8600226656019199,0.22424626005076279,0.04462668418625226,-0.7921292238623557,17.9,0.2312572075157063,688.4125,2978.7981396661444
89,0.9473955238922853,0.7414753758028152,0.4053009931511058,0.34660159160607495,0.9351544238319763,-0.8228788502108795,18.4,0.3041234586353369,809.50625,2870.9506517321825
90,0.37530393195368594,0.5723885907874326,0.7265230692023159,0.434856822532448,0.9065225852488917,-0.8035125022794732,17.0,0.33251852584828345,817.2125,2318.6925822874678
91,0.7796746998697498,0.5288709510713883,0.6730382713880654,0.3787709918361514,0.4588272579712095,-0.8017953988082616,20.3,0.25877424691240086,729.18125,2570.201464827136
92,0.6607634141075676,0.5022475100235888,0.029910647994209172,0.6409246265206116,0.0793407002649516,-0.7008353501442005,24.4,0.3562688897131974,449.675,3808.5629838147042
93,0.4684889744579952,0.7418991511309512,0.9548271438971119,0.4488304774094448,0.8301540017850086,-0.8201781266388138,14.4,0.4048844399666991,1008.84375,1967.8331373182834
94,0.4980121245369909,0.5171708983512804,0.8309774982124036,0.16353432638766208,0.6558051064117687,-0.7210112228342427,25.0,0.30950990985033505,495.58125,3368.9861816149664
95,0.3077868050150143,0.5723885907874326,0.7265230692023159,0.434856822532448,0.9065225852488917,-0.8051832990975246,21.3,0.2683012977996104,772.55625,2410.855106055626
96,0.6471162054164081,0.5277701358474716,0.13546061707358759,0.3815573356357497,0.18802645914906424,-0.7840029029823634,21.3,0.1717580982543872,571.0875,3226.2921377020866
