,Capacity,D,F,I,R,S,T,Uncertainty
1,0,2.02E-05,3.31E-06,0.000573548,4.59E-05,200780.9999,0,3
2,0,0.000145434,4.85E-05,0.002400183,0.000378618,200780.9994,0,3
3,0,0.000451378,0.000228092,0.005698138,0.001326638,200780.998,0,3
4,0,0.001001077,0.000678256,0.010746357,0.003278833,200780.9949,0,3
5,0,0.0018559,0.001574536,0.01787364,0.006697796,200780.9894,0,3
6,0,0.003055091,0.003128486,0.026730195,0.012073198,200780.9805,0,3
7,0,0.004563905,0.005550728,0.036916927,0.019748434,200780.9676,0,3
8,0,0.006370125,0.009033567,0.048668339,0.030075121,200780.9499,0,3
9,0,0.008486669,0.013770614,0.062183355,0.043456495,200780.9269,0,3
10,0,0.010938103,0.019967905,0.077654503,0.0603428,200780.8975,0,3
11,0,0.013755285,0.027849383,0.095280963,0.081231525,200780.8609,0,2
12,0,0.016973354,0.037660167,0.115274937,0.106669863,200780.8161,0,2
13,0,0.020631099,0.049669048,0.137865402,0.137258353,200780.7619,0,2
14,0,0.024770907,0.064170788,0.163300617,0.173655261,200780.6973,0,2
15,0,0.029438929,0.081488466,0.191850193,0.216581503,200780.6208,0,2
16,0,0.034682424,0.101975497,0.223724005,0.266819371,200780.531,0,2
17,0,0.040543924,0.126013741,0.259147366,0.325197479,200780.4264,0,2
18,0,0.045758493,0.153720715,0.272299546,0.389475533,200780.3099,0,2
19,0,0.049835076,0.184347255,0.287737792,0.457232056,200780.1854,0,1.9
20,0,0.053483477,0.217420764,0.304786984,0.528930181,200780.0529,0,1.9
21,0,0.057036757,0.252786962,0.323153772,0.604918976,200779.9121,0,1.9
22,0,0.060654403,0.290442072,0.342735434,0.685502456,200779.7627,0,1.9
23,0,0.064416149,0.330455581,0.363519028,0.77097197,200779.6041,0,1.9
24,10,0.033993868,0.391436935,3.45E-05,0.872980286,200779.5692,0.275257306,1.9
